r,p(r)
0,0.007505
1,0.014830
2,0.020346
3,0.023129
4,0.050504
5,0.062580
6,0.085380
7,0.118827
8,0.226756
9,0.234993
10,0.095561
11,0.036025
12,0.018769
13,0.003219
14,0.001575
15,0.000000
