r,p(r)
1,0.001035
2,0.002952
3,0.005693
4,0.009200
5,0.017804
6,0.023527
7,0.029870
8,0.040236
9,0.061805
10,0.073618
11,0.084487
12,0.086213
13,0.107313
14,0.098019
15,0.099955
16,0.079265
17,0.067726
18,0.038461
19,0.025719
20,0.015437
21,0.011609
22,0.012158
23,0.002398
24,0.002933
25,0.002568
26,0.000000
